Cycle,Cost,deadline,Element: 1,Element: 2,Element: 3,Element: 4,Element: 5,Element: 6,Element: 7,Element: 8,Element: 9,
105,13266.674143,5556.803145,3682.571594,1767.411384,917.002914,2193.209961,4468.654263,N/A,N/A,N/A,N/A,
106,29573.111202,6677.313173,3057.929182,2051.324962,1547.273543,1025.854063,2711.137447,3799.107638,4612.980771,N/A,N/A,
107,22369.427676,5092.505368,2656.754250,1496.787444,1446.741884,2309.962592,2939.542988,4154.626293,N/A,N/A,N/A,
108,19073.390096,5044.221950,1938.180574,1836.073067,817.893168,465.951988,552.216443,1382.811536,1667.055177,4484.510299,N/A,
109,16330.329466,5240.901530,2843.771950,1729.355739,592.852153,1581.134835,2187.339336,4297.186244,N/A,N/A,N/A,
110,13674.219643,4966.936820,2177.677918,1527.170503,1215.759489,988.581182,1965.056099,2819.674419,N/A,N/A,N/A,
111,16299.004968,6181.431381,3238.307348,1940.413211,1509.146255,2991.340637,4851.182539,N/A,N/A,N/A,N/A,
112,19844.953651,5842.554084,2198.278893,1976.261009,1362.793440,167.313713,152.548591,846.912061,1163.940066,1458.702844,4219.454565,
113,21834.324222,7982.991023,4687.165187,1942.570771,1441.675528,171.214510,475.267065,4820.577049,4991.327673,N/A,N/A,
114,13290.556509,5374.433305,3566.886886,948.622352,415.449810,3388.196198,4734.642141,N/A,N/A,N/A,N/A,
115,31627.325246,9219.579407,4519.143594,2864.500514,973.302294,872.474232,258.178174,1086.969975,1988.159292,3784.447630,4997.129866,
116,25286.578830,8900.674700,4913.706776,2398.455834,1476.003798,845.475155,1687.076929,3352.657053,4900.178178,N/A,N/A,
117,33552.895624,10180.427177,4053.600940,3168.421188,1925.220804,952.417452,739.660692,2804.729248,3838.931604,4626.086751,N/A,
118,27916.832255,7473.114216,3423.452812,2676.702941,1562.225479,1596.560329,1814.821316,2894.896925,3927.378192,N/A,N/A,
119,20948.142130,7732.730333,3484.172861,2641.057993,1085.048447,940.989427,1093.766661,2979.162446,3655.855691,N/A,N/A,
120,23504.288927,5765.114152,3008.863425,2466.523636,632.709433,2844.645443,3396.043851,3760.357711,N/A,N/A,N/A,
121,24691.029980,7175.774847,4213.085752,3688.849137,1856.483171,4298.761900,4656.727405,N/A,N/A,N/A,N/A,
122,26184.118033,6515.328505,4260.691571,1548.537681,1429.118515,2765.416336,3736.352595,4562.350601,N/A,N/A,N/A,
123,16968.125170,7196.898914,3522.677656,3367.274628,572.525486,780.932693,2352.549188,4876.745403,N/A,N/A,N/A,
124,8815.049694,4292.078601,1707.520472,1551.340142,49.343777,1142.898745,4879.224507,N/A,N/A,N/A,N/A,
125,21519.293327,7494.988830,3695.778714,3043.128701,742.450487,503.824217,1189.487418,3246.647502,4927.840455,N/A,N/A,
126,8893.105881,4223.319485,1714.957455,1671.813991,855.057697,898.343503,3695.979833,N/A,N/A,N/A,N/A,
127,33479.993022,8861.346907,4103.085982,3869.062582,1310.567415,134.203834,170.173867,1375.121780,1393.776460,4326.485481,4892.070448,
128,20078.206501,7566.799293,3700.077123,2343.774455,1418.992411,1945.831631,2227.558906,4603.834519,N/A,N/A,N/A,
129,20688.490957,6255.979493,2692.458341,2032.511818,1427.229771,860.382206,1469.466115,2636.922549,2781.526895,N/A,N/A,
130,23352.915349,7334.555857,4079.037995,3421.445266,1774.716921,4653.024724,4803.487659,N/A,N/A,N/A,N/A,
131,17005.464578,6111.087888,3585.336772,2096.818111,1612.725639,3192.176544,4115.049469,N/A,N/A,N/A,N/A,
132,16070.895904,4832.544805,3865.500582,963.678993,147.720947,1349.540948,2789.754904,4894.930931,N/A,N/A,N/A,
133,27599.377339,6464.730731,3237.127499,1915.833289,718.110841,555.060161,639.852544,917.722829,1056.913274,4184.360988,4211.124994,
134,18687.278937,6566.047038,4159.746352,2361.018042,67.401167,1874.041735,3061.110810,4402.874691,N/A,N/A,N/A,
135,7946.435415,2564.858525,1121.241725,983.736698,868.067694,1096.277796,2625.820146,N/A,N/A,N/A,N/A,
136,31207.097563,9906.832976,4214.569961,2843.563574,2400.863304,1248.345291,2634.515631,3350.228062,4412.259340,N/A,N/A,
137,20179.004235,7271.117769,4326.555194,2805.781417,251.772226,2242.579261,3235.324040,3445.310368,N/A,N/A,N/A,
138,7525.630045,2202.642984,1799.579543,283.741922,156.743816,27.004449,858.205941,990.434087,2152.629805,N/A,N/A,
139,19215.539266,6173.186624,2556.651882,2207.748310,885.031800,766.917428,1200.422358,2352.270509,4388.004179,N/A,N/A,
140,27198.991216,7239.022697,4425.567960,2602.176015,209.481260,1379.709837,2353.339401,3343.576885,4913.638821,N/A,N/A,
141,25713.151372,5018.347983,2393.099403,1775.098855,859.828817,1641.802523,2282.360171,2794.850771,3185.365465,N/A,N/A,
142,16278.170130,6896.550609,3188.486223,2555.130638,788.812630,344.254979,130.782209,1156.707517,1232.125147,4655.147613,N/A,
143,30277.228445,7459.349196,3656.185541,2930.769281,656.991240,468.182778,1556.864924,1786.598967,3855.283722,4824.545022,N/A,
