Cycle,Algo_Type,Element: 1,Element: 2,Element: 3,Element: 4,Element: 5,Element: 6,Element: 7,Element: 8,Element: 9,Cost,D_Index,
134,DYNAMIC,42,19,15,3,8,24,N/A,N/A,N/A,98,3,
135,NAIVE,42,20,18,17,3,13,13,20,24,274,5,
135,DYNAMIC,42,20,20,13,13,3,17,18,24,274,5,
136,NAIVE,45,34,16,14,3,11,25,43,N/A,246,4,
136,DYNAMIC,45,34,25,11,3,14,16,43,N/A,246,4,
137,NAIVE,47,38,28,22,12,16,30,42,N/A,358,4,
137,DYNAMIC,47,38,30,16,12,22,28,42,N/A,358,5,
138,NAIVE,50,45,43,7,38,40,49,N/A,N/A,395,4,
138,DYNAMIC,50,45,43,7,38,40,49,N/A,N/A,395,4,
139,NAIVE,41,39,7,2,13,40,N/A,N/A,N/A,125,3,
139,DYNAMIC,41,39,13,2,7,40,N/A,N/A,N/A,125,3,
140,NAIVE,34,25,16,5,4,2,14,19,34,210,5,
140,DYNAMIC,34,25,19,14,2,4,5,16,34,210,5,
141,NAIVE,38,19,11,6,1,3,7,11,17,135,5,
141,DYNAMIC,38,17,11,7,1,3,6,11,19,135,5,
142,NAIVE,50,47,33,16,6,19,29,37,N/A,337,4,
142,DYNAMIC,50,37,33,19,6,16,29,47,N/A,337,4,
143,NAIVE,46,30,11,1,2,13,14,N/A,N/A,101,4,
143,DYNAMIC,46,14,13,2,1,11,30,N/A,N/A,101,4,
144,NAIVE,45,45,15,8,25,41,N/A,N/A,N/A,190,3,
144,DYNAMIC,45,41,25,8,15,45,N/A,N/A,N/A,190,3,
145,NAIVE,43,22,10,9,18,19,N/A,N/A,N/A,124,3,
145,DYNAMIC,43,19,18,9,10,22,N/A,N/A,N/A,124,3,
146,NAIVE,44,32,29,23,6,5,18,31,38,357,5,
146,DYNAMIC,44,32,31,23,5,6,18,29,38,357,5,
147,NAIVE,44,32,21,20,1,11,22,23,N/A,238,4,
147,DYNAMIC,44,23,22,20,1,11,21,32,N/A,238,4,
148,NAIVE,35,30,20,14,7,28,34,N/A,N/A,223,4,
148,DYNAMIC,35,30,28,7,14,20,34,N/A,N/A,223,4,
149,NAIVE,42,31,9,1,6,7,19,N/A,N/A,103,4,
149,DYNAMIC,42,19,9,6,1,7,31,N/A,N/A,103,4,
150,NAIVE,49,39,33,5,32,46,N/A,N/A,N/A,230,3,
150,DYNAMIC,49,39,33,5,32,46,N/A,N/A,N/A,230,4,
151,NAIVE,47,44,18,10,3,2,9,11,33,212,5,
151,DYNAMIC,47,33,18,9,2,3,10,11,44,212,5,
152,NAIVE,49,37,28,7,7,13,24,45,N/A,274,4,
152,DYNAMIC,49,37,28,7,7,13,24,45,N/A,274,5,
153,NAIVE,47,45,22,14,9,19,26,38,N/A,314,4,
153,DYNAMIC,47,38,26,14,9,19,22,45,N/A,314,5,
154,NAIVE,40,36,25,9,4,20,32,N/A,N/A,197,4,
154,DYNAMIC,40,32,25,4,9,20,36,N/A,N/A,197,4,
155,NAIVE,44,17,5,5,17,33,N/A,N/A,N/A,109,3,
155,DYNAMIC,44,17,17,5,5,33,N/A,N/A,N/A,109,3,
156,NAIVE,47,26,13,3,20,38,N/A,N/A,N/A,139,3,
156,DYNAMIC,47,26,20,3,13,38,N/A,N/A,N/A,139,3,
157,NAIVE,49,16,8,2,1,2,6,12,38,130,5,
157,DYNAMIC,49,16,12,6,2,1,2,8,38,130,5,
158,NAIVE,32,30,29,9,3,10,13,29,N/A,212,4,
158,DYNAMIC,32,29,29,9,3,10,13,30,N/A,212,4,
159,NAIVE,31,26,17,6,2,23,26,N/A,N/A,156,4,
159,DYNAMIC,31,26,17,6,2,23,26,N/A,N/A,156,4,
160,NAIVE,40,38,29,12,24,33,38,N/A,N/A,308,4,
160,DYNAMIC,40,38,29,24,12,33,38,N/A,N/A,308,4,
161,NAIVE,36,9,7,1,2,9,N/A,N/A,N/A,39,3,
161,DYNAMIC,36,9,2,1,7,9,N/A,N/A,N/A,39,4,
162,NAIVE,49,36,20,8,1,2,13,16,21,204,5,
162,DYNAMIC,49,21,20,13,1,2,8,16,36,204,5,
163,NAIVE,47,26,16,13,6,13,14,42,N/A,230,4,
163,DYNAMIC,47,26,16,13,6,13,14,42,N/A,230,5,
164,NAIVE,43,37,28,22,11,15,26,38,N/A,338,4,
164,DYNAMIC,43,37,28,15,11,22,26,38,N/A,338,5,
165,NAIVE,48,35,25,6,1,7,38,N/A,N/A,158,4,
165,DYNAMIC,48,35,25,1,6,7,38,N/A,N/A,158,4,
166,NAIVE,45,39,20,3,25,34,N/A,N/A,N/A,172,3,
166,DYNAMIC,45,34,25,3,20,39,N/A,N/A,N/A,172,3,
167,NAIVE,44,33,15,7,2,4,14,17,25,209,5,
167,DYNAMIC,44,25,17,14,2,4,7,15,33,209,5,
168,NAIVE,50,36,28,20,10,12,14,24,46,376,5,
168,DYNAMIC,50,36,28,20,10,12,14,24,46,376,5,
169,NAIVE,47,32,15,6,5,11,28,30,N/A,219,4,
169,DYNAMIC,47,30,28,6,5,11,15,32,N/A,219,4,
170,NAIVE,45,29,24,19,9,20,32,N/A,N/A,233,4,
170,DYNAMIC,45,29,24,9,19,20,32,N/A,N/A,233,4,
171,NAIVE,42,38,14,9,7,26,40,N/A,N/A,206,4,
171,DYNAMIC,42,38,26,7,9,14,40,N/A,N/A,206,4,
172,NAIVE,41,38,34,10,20,35,N/A,N/A,N/A,211,3,
172,DYNAMIC,41,35,34,10,20,38,N/A,N/A,N/A,211,3,
173,NAIVE,49,44,36,32,5,5,23,38,40,437,5,
173,DYNAMIC,49,40,38,23,5,5,32,36,44,437,5,
174,NAIVE,45,21,18,2,2,10,17,45,N/A,180,4,
174,DYNAMIC,45,21,18,10,2,2,17,45,N/A,180,4,
175,NAIVE,48,41,16,14,7,15,33,45,N/A,299,4,
175,DYNAMIC,48,41,33,14,7,15,16,45,N/A,299,4,
176,NAIVE,31,24,9,5,6,14,19,N/A,N/A,122,4,
176,DYNAMIC,31,19,14,5,6,9,24,N/A,N/A,122,4,
177,NAIVE,45,44,4,1,1,14,N/A,N/A,N/A,71,3,
177,DYNAMIC,45,14,4,1,1,44,N/A,N/A,N/A,71,4,
178,NAIVE,44,42,28,15,1,1,17,26,42,296,5,
178,DYNAMIC,44,42,26,17,1,1,15,28,42,296,5,
179,NAIVE,42,39,13,7,4,3,6,12,41,197,5,
179,DYNAMIC,42,39,13,6,4,3,7,12,41,197,5,
180,NAIVE,49,26,21,8,1,15,21,31,N/A,214,4,
180,DYNAMIC,49,26,21,15,1,8,21,31,N/A,214,4,
181,NAIVE,40,22,21,18,14,20,37,N/A,N/A,237,4,
181,DYNAMIC,40,22,21,18,14,20,37,N/A,N/A,237,4,
182,NAIVE,36,32,17,17,18,26,N/A,N/A,N/A,179,3,
182,DYNAMIC,36,26,18,17,17,32,N/A,N/A,N/A,179,4,
183,NAIVE,48,47,32,12,39,43,N/A,N/A,N/A,268,3,
183,DYNAMIC,48,43,39,12,32,47,N/A,N/A,N/A,268,3,
184,NAIVE,47,46,20,7,1,6,10,31,43,270,5,
184,DYNAMIC,47,43,31,7,1,6,10,20,46,270,5,
185,NAIVE,47,43,21,14,8,21,28,45,N/A,323,4,
185,DYNAMIC,47,43,28,14,8,21,21,45,N/A,323,5,
186,NAIVE,39,26,23,16,1,15,24,26,N/A,243,4,
186,DYNAMIC,39,26,23,16,1,15,24,26,N/A,243,4,
